property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
82622,-37.911752,145.272935,19 Adam Cl,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.87755,46,1
82622,-37.911752,145.272935,19 Adam Cl,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.87755,46,1
82892,-37.902584,145.266543,8 Albatross Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.43013,46,1
82892,-37.902584,145.266543,8 Albatross Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.43013,46,1
82865,-37.905153,145.278999,7 Boradino Place,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,2.9758,46,1
82865,-37.905153,145.278999,7 Boradino Place,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,2.9758,46,1
82645,-37.90908,145.252822,2 Valleyview Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.81482,46,1
82645,-37.90908,145.252822,2 Valleyview Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.81482,46,1
82814,-37.909597,145.251462,50 Bexsarm Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.94382,46,1
82814,-37.909597,145.251462,50 Bexsarm Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.94382,46,1
82611,-37.904684,145.269418,18 Langhorne Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.42011,46,1
82611,-37.904684,145.269418,18 Langhorne Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.42011,46,1
82825,-37.90872955,145.27015690000005,52 Sovereign Manors Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.73013,46,1
82825,-37.90872955,145.27015690000005,52 Sovereign Manors Crescent,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.73013,46,1
82709,-37.905941999999996,145.259277,3 Bensam Close,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.15574,46,1
82709,-37.905941999999996,145.259277,3 Bensam Close,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,4.15574,46,1
82909,-37.91020200000001,145.273319,81 Murrindal Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.71209,46,1
82909,-37.91020200000001,145.273319,81 Murrindal Drive,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.71209,46,1
82622,-37.911752,145.27293500000005,19 Adam Cl,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.87755,46,1
82622,-37.911752,145.27293500000005,19 Adam Cl,ROWVILLE,9231.0,1496.0,Knox,28725.0,71%,"$1,699","$1,069,100",BALLARAT,19868,3.87755,46,1
17262,-37.712075,144.937175,43 West Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,1.52591,26,1
17262,-37.712075,144.937175,43 West Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,1.52591,26,1
17697,-37.708548,144.950154,77 East Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,1.16505,30,1
17697,-37.708548,144.950154,77 East Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,1.16505,30,1
16351,-37.706804,144.95255,11 Staples Court,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,0.8805,30,1
16351,-37.706804,144.95255,11 Staples Court,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,0.8805,30,1
17911,-37.713899,144.939401,98 South Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,1.63796,26,1
17911,-37.713899,144.939401,98 South Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,1.63796,26,1
16382,-37.705597,144.938245,115 West Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,2.01505,26,1
16382,-37.705597,144.938245,115 West Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,20033,2.01505,26,1
17735,-37.712234,144.944624,8 Walter Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19962,1.42698,28,1
17735,-37.712234,144.944624,8 Walter Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19962,1.42698,28,1
16579,-37.7065773,144.9495392,15 Richard Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,1.05224,30,1
16579,-37.7065773,144.9495392,15 Richard Street,HADFIELD,2326.0,712.0,Moreland,27707.0,66%,"$1,004","$805,000",WYNDHAM,19961,1.05224,30,1
86201,-37.89302444,144.9931335,16 Harwood Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19954,1.14588,no direct trip is available,0
86201,-37.89302444,144.9931335,16 Harwood Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19954,1.14588,no direct trip is available,0
86866,-37.910775,145.003047,51A William Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19952,0.65656,no direct trip is available,0
86866,-37.910775,145.003047,51A William Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19952,0.65656,no direct trip is available,0
85895,-37.903711,144.992791,1 Hayball Court,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19952,0.87189,no direct trip is available,0
